[2020-12-15T20:04:54.049559+01:00] app.DEBUG: Prova debug [] []
[2020-12-15T20:04:54.051040+01:00] app.INFO: Prova info [] []
[2020-12-15T20:04:54.051437+01:00] app.NOTICE: Prova notice [] []
[2020-12-15T20:04:54.051780+01:00] app.ERROR: Prova error [] []
[2020-12-15T20:04:54.052123+01:00] app.CRITICAL: Prova crítica [] []
[2020-12-15T20:04:54.271806+01:00] app.DEBUG: Prova debug [] []
[2020-12-15T20:04:54.273032+01:00] app.INFO: Prova info [] []
[2020-12-15T20:04:54.273301+01:00] app.NOTICE: Prova notice [] []
[2020-12-15T20:04:54.273559+01:00] app.ERROR: Prova error [] []
[2020-12-15T20:04:54.273806+01:00] app.CRITICAL: Prova crítica [] []
[2020-12-15T20:04:54.464170+01:00] app.DEBUG: Prova debug [] []
[2020-12-15T20:04:54.465085+01:00] app.INFO: Prova info [] []
[2020-12-15T20:04:54.465313+01:00] app.NOTICE: Prova notice [] []
[2020-12-15T20:04:54.465535+01:00] app.ERROR: Prova error [] []
[2020-12-15T20:04:54.465749+01:00] app.CRITICAL: Prova crítica [] []
[2020-12-15T20:08:01.885787+01:00] app.DEBUG: Prova debug [] []
[2020-12-15T20:08:01.886870+01:00] app.INFO: Prova info [] []
[2020-12-15T20:08:01.887131+01:00] app.NOTICE: Prova notice [] []
[2020-12-15T20:08:01.887378+01:00] app.ERROR: Prova error [] []
[2020-12-15T20:08:01.887665+01:00] app.CRITICAL: Prova crítica [] []
[2020-12-15T20:08:02.132794+01:00] app.DEBUG: Prova debug [] []
[2020-12-15T20:08:02.134668+01:00] app.INFO: Prova info [] []
[2020-12-15T20:08:02.135206+01:00] app.NOTICE: Prova notice [] []
[2020-12-15T20:08:02.135740+01:00] app.ERROR: Prova error [] []
[2020-12-15T20:08:02.136282+01:00] app.CRITICAL: Prova crítica [] []
[2020-12-15T20:08:02.395411+01:00] app.DEBUG: Prova debug [] []
[2020-12-15T20:08:02.396446+01:00] app.INFO: Prova info [] []
[2020-12-15T20:08:02.396704+01:00] app.NOTICE: Prova notice [] []
[2020-12-15T20:08:02.396952+01:00] app.ERROR: Prova error [] []
[2020-12-15T20:08:02.397198+01:00] app.CRITICAL: Prova crítica [] []
[2020-12-15T20:13:25.670193+01:00] app.ERROR: La grandària de la imatge (6104)              supera el límit establert: 300 [] []
[2020-12-15T20:14:11.781458+01:00] app.ERROR: La grandària de la imatge (6104)              supera el límit establert: 300 [] []
[2020-12-15T20:14:25.693017+01:00] app.ERROR: La grandària de la imatge (6795)              supera el límit establert: 300 [] []
[2020-12-15T20:15:44.127283+01:00] app.ERROR: La grandària de la imatge (6763)              supera el límit establert: 300 [] []
[2020-12-15T20:16:07.833440+01:00] app.ERROR: La grandària de la imatge (6763)              supera el límit establert: 300 [] []
[2020-12-15T20:16:40.010306+01:00] app.ERROR: La grandària de la imatge (6795)              supera el límit establert: 300 [] []
[2020-12-29T10:57:47.324294+01:00] app.ERROR: La grandària de la imatge (76947)              supera el límit establert: 300 [] []
[2020-12-29T10:57:58.274378+01:00] app.ERROR: La grandària de la imatge (84840)              supera el límit establert: 300 [] []
[2021-01-13T11:48:21.387766+01:00] app.ERROR: La grandària de la imatge (3043)              supera el límit establert: 300 [] []
[2021-01-15T13:18:44.960016+01:00] app.ERROR: La grandària de la imatge (393628)              supera el límit establert: 50000 [] []
[2021-01-18T13:30:05.075246+01:00] app.INFO: S'ha creat una nova pel·lícula [] []
[2021-01-28T11:41:29.439313+01:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-01-28T12:33:45.825466+01:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-01-28T12:33:55.034444+01:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-01-28T12:38:19.483831+01:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-01-28T12:46:36.296367+01:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-01-28T12:47:27.047538+01:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-01-31T19:24:35.826177+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-01T12:56:36.058886+01:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-19T18:27:28.159055+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-19T18:27:39.181860+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-19T18:28:27.927680+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-19T18:28:41.159571+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-19T19:47:47.980995+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-19T19:49:53.060936+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-19T19:57:24.526245+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-20T00:22:09.095033+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:30:33.220615+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:30:54.942344+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:31:27.926296+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:31:57.882021+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:37:58.756544+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:38:15.984311+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:41:48.076521+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:42:19.742098+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:46:19.807503+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:46:41.604953+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:47:02.898680+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-20T18:51:40.769241+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-20T18:51:58.105924+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-20T18:52:10.744914+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-20T18:57:09.739601+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-20T18:58:21.285649+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-20T18:59:42.824920+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-20T19:03:09.400337+00:00] app.INFO: Se ha creado un nuevo usuario [] []
[2021-02-22T18:43:56.832515+00:00] app.INFO: Se ha creado un nuevo producto [] []
[2021-02-22T22:44:08.537500+00:00] app.INFO: Se ha creado una nueva reserva [] []
[2021-02-22T22:48:46.985726+00:00] app.INFO: Se ha creado una nueva reserva [] []
[2021-02-23T16:40:51.912293+00:00] app.INFO: Se ha creado una nueva reserva [] []
[2021-05-06T10:32:35.067840+00:00] app.INFO: Se ha creado una nueva reserva [] []
